810,24,0.32,0.19,0.03,0.3,0.029,0.048,0.008,0
3330,128,0.05,0.36,0.01,0.9,0.03,0.123,0.005,0.00034
5430,1053,13.16,0.59,0.082,2.4,0.921,1.053,0.017,0.00019
13410,557,0.36,1.81,0.032,0,0.038,0.442,0,0.00117
24350,415,0.42,1.82,0.021,0,0.012,0.221,0.011,0.00049
0,0,0.03,0,0,0,0,0,0,0
11390,272,0.44,1.34,0.034,0,0.021,0.185,0.013,0.00029
10190,110,0.07,0.52,0.017,0,0.023,0.278,0.007,0.00075
500,19,0.6,0.1,0.01,6,0.007,0.013,0.003,0.00012
0,0,0,0,0,0,0,0,0,0
1400,11,0.41,0.27,0.041,2.5,0.029,0.032,0.004,0
160,3,0.06,0,0,0.2,0.01,0.037,0.001,0.0001
21440,680,0.47,2.94,0.008,0,0.02,0.209,0.001,0.00138
3730,162,3.49,0.57,0.057,0.2,0.242,0.353,0.007,0.00042
3950,143,0.06,0.41,0.011,1.1,0.045,0.194,0.005,0.00039
3860,143,0.12,0.67,0.079,1.1,0.034,0.162,0.008,0.00043
45710,500,8.57,7.14,1,30,0.714,0.857,0,0.003
650,5,0.12,0.07,0.015,0,0.01,0.03,0.006,0.00004
3790,130,0.04,0.46,0.009,0.2,0.03,0.135,0.013,0.00029
9000,1597,36.8,2.69,0.633,2.3,0.177,0.528,0.237,0
0,1,0.3,0.03,0.045,42.8,0.01,0.03,0,0
810,24,0.32,0.19,0.03,0.3,0.029,0.048,0.008,0
0,0,0,0,0,0,0,0,0,0
21560,651,0.47,3.5,0.024,0,0.018,0.225,0.002,0.00103
3310,317,6.65,0.93,0.301,21.8,0.036,0.152,0.109,0
9150,117,0.13,0.82,0.027,0,0.022,0.155,0.014,0.0003
70,0,0,0,0,0,0,0,0,0
1090,17,1.18,0.26,0,0,1.445,0.058,0,0
1600,55,0.24,0.28,0.05,0.8,0.012,0.08,0.006,0.00001
10900,430,9.4,5.2,0.39,62,0.42,0.73,0,0.00156
27500,11,1.37,3.02,0.077,0,0.054,0.213,0.008,0.00024
4500,161,0.06,0,0,1.1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5250,183,0.08,0.89,0.013,0.8,0.044,0.214,0.011,0.00056
23750,697,0.22,3.62,0.033,0,0.024,0.353,0.027,0.00168
1320,28,0.3,0.17,0.019,0,0.015,0.087,0.004,0.00017
1200,27,0.4,0.1,0.03,1.7,0.02,0.04,0.032,0
17810,931,66.36,4.8,0.867,7.7,0.628,0.327,0.01,0
24990,731,0.44,3.75,0.036,0,0.037,0.389,0.016,0.00154
